;Organismo;Organismo;Organismo
;0;1;2
0;AGENCIA CHILENA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO (AGCID);Hospital de Tomé;Municipalidad de Quilpué
1;Administradora de los Tribunales Tributarios y Aduaneros (ATTA);Hospital de las Higueras;Municipalidad de Quinta Normal
2;Agencia de Calidad de la Educación;Hospital del Salvador;Municipalidad de Quintero
3;Agencia de Promoción de la Inversión Extranjera;Instituto Nacional de Derechos Humanos (INDH);Municipalidad de Quirihue
4;Armada de Chile;Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala (INDESPA);Municipalidad de Rancagua
5;Asociación Chilena de Municipalidades con Farmacias Populares (ACHIFARP);Instituto Nacional de Estadisticas (INE);Municipalidad de Renaico
6;Asociación Nacional de Municipalidades de Ciudades Puerto Concesionados;Instituto Nacional de Geriatría (ING);Municipalidad de Renca
7;Asociación Regional de Municipios de Atacama;Instituto Nacional de Rehabilitación Pedro Aguirre Cerda;Municipalidad de Rengo
8;Asociación de Municipalidades Bio Bio Centro;Instituto Nacional del Cáncer;Municipalidad de Rio Bueno
9;Asociación de Municipalidades Cordilleranas de la Araucanía;Instituto Nacional del Deporte (IND);Municipalidad de Romeral
10;Asociación de Municipalidades Parque Cordillera;Instituto Nacional del Tórax;Municipalidad de Ránquil
11;Asociación de Municipalidades Rurales de la Región Metropolitana de Santiago (AMUR);Instituto Psiquiátrico;Municipalidad de Río Claro
12;Asociación de Municipalidades con Alcalde Mapuche;Instituto Traumatológico;Municipalidad de Río Hurtado
13;Asociación de Municipalidades de Chile AMUCH;Instituto de Desarrollo Agropecuario (INDAP);Municipalidad de Río Ibáñez
14;Asociación de Municipalidades de Ciudades Puerto y Borde Costero;Instituto de Neurocirugía;Municipalidad de Río Negro
15;Asociación de Municipalidades de la Provincia de Osorno para el Manejo Sustentable de Residuos y la Gestión Ambiental;Instituto de Previsión Social (IPS);Municipalidad de Saavedra
16;Asociación de Municipalidades de la Región de  Coquimbo;Instituto de Salud Pública (ISP);Municipalidad de Salamanca
17;Asociación de Municipalidades de la Región de Los Ríos para el Manejo sustentable de Residuos y la Gestión Ambiental;Instituto de Seguridad Laboral (ISL);Municipalidad de San Antonio
18;Asociación de Municipalidades de la Región de OHiggins;Junta Nacional de Auxilio Escolar y Becas (JUNAEB);Municipalidad de San Bernardo
19;Asociación de Municipalidades de la Región del Biobío;Junta Nacional de Jardines Infantiles (JUNJI);Municipalidad de San Carlos
20;Asociación de Municipalidades del Valle del Itata;Junta de Aeronáutica Civil (JAC);Municipalidad de San Clemente
21;Asociación de Municipalidades para el Desarrollo Económico Local;Municipalidad de Alhué;Municipalidad de San Fabián
22;Asociación de Municipios Ciudad Sur;Municipalidad de Alto Biobío;Municipalidad de San Gregorio
23;Asociación de Municipios de La Región de Los Ríos;Municipalidad de Alto del Carmen;Municipalidad de San Javier
24;CFT de la Región de Valparaíso;Municipalidad de Andacollo;Municipalidad de San José de Maipo
