;Organismo;indicador
578;Municipalidad de Puchuncaví;1.4
449;Municipalidad de El Carmen;1.7
298;Corporación Municipal de Maipú (CODEDUC);2.1
670;Municipalidad de Vicuña;2.4
28;Carabineros de Chile;2.7
375;Asociación de Municipalidades del Valle del Maipo;2.8
357;Asociación Municipalidades Provincia de Llanquihue Para Manejo Sustentable de Residuos y Gestión Ambiental;3.2
346;Asociación de Municipalidades Territorio de Riego Canal LajaDiguillín;3.8
370;Asociación de Municipalidades para la Preservación de la Biodiversidad en el Territorio de Nonguén y otros Ecosistemas;5.6
557;Municipalidad de Pelarco;8.2
351;Asociación de Municipalidades Desarrollo Apicultura Turismo y Medio Ambiente Zona de Amortiguación de la Región de Los Lagos;8.3
644;Municipalidad de Santa María;13.3
272;Ex Consejo Nacional de la Cultura y las Artes (CNCA);13.8
29;Defensa Civil de Chile;15.4
21;Dirección General de Relaciones Económicas Internacionales (DIRECON);16.1
475;Municipalidad de Independencia;20.0
22;Dirección Nacional de Fronteras y Límites del Estado (DIFROL);30.0
125;Subsecretaría de Transportes (MTT);33.3
666;Municipalidad de Valdivia;36.7
263;Fundación de Comunicación Capacitación y Cultura del Agro (FUCOA);40.0
347;Asociación de Municipalidades Paisajes de Conservación para la Biodiversidad de la Región de Los Ríos;40.3
349;Asociación de Municipalidades de la Provincia de Arauco;41.0
359;Asociación Municipal para la sustentabilidad ambiental AMUSA;44.8
350;Asociación de Municipalidades Quinta Región Cordillera;45.2
45;Dirección de Compras y Contratación Pública (CHILECOMPRA);50.0
