;Codigo_org;idOrg;Organismo;Codigo_padre;Padre_org;Region;Municipalidad;direccion;telefono;url_organismo;url_orgtransparencia;horario_publico;nombre_encargado;email;num_cuenta;rut;tipo_cuenta;banco;url_sai;fax;Ingresa;obligadorecibir_sai;organismo_autonomo;interopera;tiene_ta;fecha_ta
0;MA031;327550;Asociación de Municipios Ciudad Sur;ASOC;Asociación Municipal;Sin especificar;Sin especificar;56 9 7854 6853;56 9 7854 6853;http://www.municipiosciudadsur.cl/;http://municipiosciudadsur.cl/CiudadSurTransparencia/index.html;;;transparencia@municipiosciudadsur.cl;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;2018/01/01
1;AB024;778;Gobernación de Iquique;AB000;Interior y Seguridad Pública;Región de Tarapacá;IQUIQUE;Avda. Arturo Prat 1099;57 2 373402 (Secretaria Gob. Prov)  57 2 373410 (Of. De Partes);http://www.gobernacioniquique.gov.cl/;http://www.interior.gob.cl/transparenciaactiva/sgi/38/index.html;Lunes a viernes 8:30 a 13:00 y 15:00 a 17:30;Sergio Tunesi Muñoz;stunesi@interior.gov.cl;;;;;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;;Ingresa;SÍ;NO;SÍ;NO;
2;PP048;328800;Partido Por La Integración Regional;PP000;Partidos Políticos;Región de Tarapacá;IQUIQUE;PATRICIO LYNCH  N  467;57 2269084;http://www.partidoporlaintegracionregional.cl;http://;LUNES A VIERNES : 09:00  A  19:00 HRS. SABADO DE 09:00 A 14:00  HRS.;;;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;
3;AB017;771;Intendencia de Tarapacá;AB000;Interior y Seguridad Pública;Región de Tarapacá;IQUIQUE;Av. Arturo Prat 1099;57 2373226  57 2373227;http://www.intendenciatarapaca.gov.cl/;http://www.interior.gob.cl/transparenciaactiva/sgi/25/index.html;Lunes a Viernes 09:00 a 13:00 hrs;Patricia Avila Rodriguez;pavilar@interior.gov.cl;;;;;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;;Ingresa;SÍ;NO;SÍ;NO;
4;AP002;941;SERVIU Región de Tarapacá;AP000;Vivienda y Urbanismo;Región de Tarapacá;IQUIQUE;Patricio Lynch 50;56 57 811 000;http://tarapaca.serviu.cl/;http://tarapaca.serviu.cl/transparencia/index.html;Lunes a Viernes de 8:15 a 13:00 horas;Marjorie Yunnissi Orellana;myunnissi@minvu.cl;;;;;http://solicitudinformacion.minvu.cl/;;Ingresa;SÍ;NO;SÍ;SÍ;2018/01/11
5;AO068;907;Hospital Ernesto Torres de Iquique;AO000;Salud;Región de Tarapacá;IQUIQUE;Héroes de la Concepción 502;2405701 24057022406557;http://www.hospitaliquique.cl/;http://webhosting.redsalud.gov.cl/transparencia/index.php?id=AO068;Lunes a jueves 08:00 a 17:00 hrs. Viernes 08:00 a 16:00 hrs.;Silvia Carrizo Cornejo (s);silviacarrizoc@gmail.com;;;;;http://transparencia.redsalud.gob.cl/transparencia/public/AO068/solicitud_informacion_1.html;;Ingresa;SÍ;NO;NO;SÍ;2018/02/16
6;AB076;829;Gobierno Regional de Tarapacá;AB000;Interior y Seguridad Pública;Región de Tarapacá;IQUIQUE;AVDA. A. PRAT 1099 PISO 1;56 57 2373862;http://www.goretarapaca.gov.cl/;http://www.goretarapaca.gov.cl/transparencia/;LUNES A JUEVES DE 08:30 A 17:30  VIERNES DE 08:30 A 16:30;PAULA ORTEGA GRAZ;notificaciones.transparencia@goretarapaca.gov.cl;;;;;http://www.goretarapaca.gov.cl/transparencia/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/10/09
7;CM038;58864;Corporación Municipal de Iquique;CM000;Corporaciones Municipales;Región de Tarapacá;IQUIQUE;;;http://sitio.cormudesi.cl/;http://www.cormudesi.cl/Transparencia/index.php;;;;;;;;http://solicitudes.cormudesi.cl/;;No ingresa;SÍ;NO;NO;NO;
8;EP017;1110;Empresa Portuaria Iquique;EP000;Empresas y Sociedades;Región de Tarapacá;IQUIQUE;JORGE BARRERA 62  IQUIQUE;(57) 400100;http://www.epi.cl;http://www.epi.cl/ley-de-transparencia/;;;;;;;;http://;;No ingresa;NO;NO;NO;NO;
9;UN002;1082;Universidad Arturo Prat (UNAP);UN000;Universidades;Región de Tarapacá;IQUIQUE;AV. ARTURO PRAT 2120  IQUIQUE;(57) 2 526811;http://www.unap.cl;http://transparencia.unap.cl/activa/web/;;;transparencia.pasiva@unap.cl;;;;;http://transparencia.unap.cl/pasiva/web/index.php?action=login_solicitud_informacion&solicitud_informacion=1;;No ingresa;SÍ;NO;NO;SÍ;
